,SA2,cbd_dis
373,212041312,33499.4
374,212041313,30504.8
375,212041316,29207.7
376,212041317,27682.4
377,212041318,36781.8
378,212041459,32860.2
379,212041460,34844.5
380,212041563,34154.0
381,212041564,41861.5
382,212041565,36311.3
383,212041566,40225.6
384,212051319,18204.3
385,212051321,25735.6
386,212051322,24550.6
387,212051323,21688.0
388,212051324,21149.3
389,212051325,28523.0
390,212051326,20020.1
391,212051327,25549.6
392,212051567,23396.8
393,212051568,23995.3
394,213011328,23815.8
395,213011329,24381.8
396,213011331,27270.8
397,213011332,22323.8
398,213011333,28727.4
399,213011334,23563.0
400,213011335,26874.9
401,213011336,13253.4
402,213011337,15748.5
403,213011338,18629.8
404,213011339,26250.5
405,213011340,25276.8
406,213011569,24724.9
407,213011570,20218.6
408,213021341,19365.6
409,213021342,24077.3
410,213021343,15161.4
411,213021344,10335.1
412,213021345,24436.2
413,213021346,13808.0
414,213031347,11535.0
415,213031348,7309.0
416,213031349,9933.4
417,213031350,7916.0
418,213031351,9636.6
419,213031352,9674.9
420,213041353,61101.3
421,213041358,48656.4
422,213041359,38434.8
423,213041360,33195.4
424,213041461,29139.6
425,213041462,31779.2
426,213041463,29468.7
427,213041571,47744.0
428,213041572,44710.1
429,213041573,350.0
430,213041574,39594.3
431,213041575,28072.6
432,213041576,49878.8
433,213041577,42589.9
434,213041578,48558.8
435,213051361,29978.8
436,213051362,29621.0
437,213051363,19513.6
438,213051368,350.0
439,213051464,29952.2
440,213051466,29076.6
441,213051467,31903.5
442,213051468,45677.5
443,213051579,48053.8
444,213051580,25812.4
445,213051581,26330.7
446,213051582,32265.5
447,213051583,27934.2
448,213051584,28867.9
449,213051585,32966.6
450,213051586,23987.0
451,213051587,22648.3
452,213051588,24999.1
453,213051589,350.0
454,213051590,38230.2
455,214011370,47120.6
456,214011371,55837.6
457,214011372,350.0
458,214011373,60660.4
459,214011374,58354.7
460,214011375,51634.9
461,214011376,50544.0
462,214021377,81783.4
463,214021378,90635.5
464,214021379,81403.7
465,214021381,61536.2
466,214021382,79577.0
467,214021383,104817.3
468,214021384,90330.3
469,214021385,65647.0
470,214021591,70983.5
471,214021592,72257.1
472,215011386,350.0
473,215011387,350.0
474,215011388,297485.3
475,215011389,350.0
476,215011390,407849.3
477,215011391,350.0
478,215011392,242065.5
479,215011393,407374.1
480,215011394,350.0
481,215021395,534646.1
482,215021396,553309.0
483,215021398,350.0
484,215021399,528182.4
485,215021469,544587.3
486,215021470,543559.6
487,215031400,311692.4
488,215031401,350.0
489,215031402,350.0
490,215031403,458643.1
491,215031404,346622.7
492,215031405,397970.4
493,216011406,215976.3
494,216011407,209479.3
495,216011408,210483.9
496,216011409,184981.0
497,216011410,350.0
498,216021411,251263.3
499,216021412,244458.6
500,216021413,236267.7
501,216021414,350.0
502,216031415,186861.5
503,216031416,185268.6
504,216031418,350.0
505,216031419,174887.4
506,216031593,174405.1
507,216031594,184821.5
508,217011420,350.0
509,217011421,310255.8
510,217011422,359024.4
511,217011423,311233.6
512,217031471,197372.4
513,217031472,154170.1
514,217031473,147862.1
515,217031474,350.0
516,217031475,204173.9
517,217031476,198450.6
518,217041477,350.0
519,217041478,350.0
520,217041479,262806.5
521,217041480,249896.3
