,id,Annotations,Name,Parent,Description
703,112011238,,Bangalow,,
704,112011239,,Brunswick Heads - Ocean Shores,,
705,112011240,,Byron Bay,,
706,112011241,,Evans Head,,
707,112011242,,Lennox Head - Skennars Head,,
708,112011243,,Mullumbimby,,
709,11202,,Richmond Valley - Hinterland,,
710,112021244,,Casino,,
711,112021245,,Casino Surrounds,,
712,112021246,,Goonellabah,,
713,112021247,,Kyogle,,
714,112021248,,Lismore,,
715,112021249,,Lismore Surrounds,,
716,11203,,Tweed Valley,,
717,112031250,,Kingscliff - Fingal Head,,
718,112031251,,Murwillumbah,,
719,112031252,,Murwillumbah Surrounds,,
720,112031253,,Pottsville,,
721,112031254,,Tweed Heads,,
722,112031550,,Banora Point,,
723,112031551,,Terranora - North Tumbulgum,,
724,112031552,,Tweed Heads South,,
725,113,,Riverina,,
726,11301,,Griffith - Murrumbidgee (West),,
