,School Name,SA2,Latitude,Longitude,School Type
3840,Kilmore Primary School,204011056,-37.295768,144.947521,Primary
3841,Macarthur Primary School,217041478,-38.030878,142.001473,Primary
3842,Barwon Heads Primary School,203031050,-38.28106699,144.48720915,Primary
3843,Keilor Primary School,210011228,-37.716868,144.835887,Primary
3844,Dunolly Primary School,201031017,-36.851552,143.733581,Primary
3845,Springhurst Primary School,204021067,-36.184673,146.468103,Primary
3846,Trentham District Primary School,201021011,-37.38796656,144.32809526,Primary
3847,Warrenheip Primary School,201011003,-37.57391565,143.92794907,Primary
3848,Maiden Gully Primary School,202011023,-36.744472,144.210192,Primary
3849,Rupanyup Primary School,215011394,-36.632224,142.628612,Primary
3850,Goornong Primary School,202031032,-36.616872,144.505155,Primary
3851,Oakleigh Primary School,212051326,-37.894474,145.088615,Primary
3852,Ceres Primary School,203021042,-38.173549,144.266732,Primary
3853,Malvern Central School,208041194,-37.856009,145.034401,Primary
3854,Daylesford Primary School,201021011,-37.34510484,144.14155519,Primary
3855,Mooroopna North Primary School,216031419,-36.329139,145.298488,Primary
3856,Swan Reach Primary School,205021084,-37.821077,147.864786,Primary
3857,Amphitheatre Primary School,201031013,-37.184128,143.399236,Primary
3858,Deans Marsh Primary School,203011036,-38.39987507,143.88575113,Primary
3859,Drysdale Primary School,203031048,-38.169163,144.571747,Primary
3860,St Arnaud Primary School,215011391,-36.6102,143.257542,Primary
3861,Nullawarre and District Primary School,217041477,-38.466755,142.734429,Primary
3862,Macedon Primary School,210021233,-37.41869064,144.56267877,Primary
3863,Arthurs Creek Primary School,209031212,-37.57900478,145.20250161,Primary
3864,Rye Primary School,214021383,-38.373116,144.823824,Primary
3865,Buxton Primary School,204011054,-37.4214,145.709,Primary
3866,Moonambel Primary School,201031013,-36.989858,143.320743,Primary
3867,Longford Primary School,205051100,-38.169564,147.088411,Primary
3868,Harkaway Primary School,212021299,-38.001041,145.345296,Primary
3869,Balnarring Primary School,214021379,-38.376257,145.122985,Primary
3870,Carraragarmungee Primary School,204021067,-36.328898,146.460861,Primary
3871,Euroa Primary School,204011055,-36.755962,145.572076,Primary
3872,Pyramid Hill College,202031033,-36.04736,144.113679,Combined
