rent,bedroom,baths,parking,url,Latitude,Longitude
1250,3,3,2,https://www.domain.com.au/1701-649-chapel-street-south-yarra-vic-3141-15879263,-37.8374374,144.9955647
390,2,2,1,https://www.domain.com.au/403-118-cairnlea-drive-cairnlea-vic-3023-16061980,-37.7574237,144.7910777
390,2,1,1,https://www.domain.com.au/7-35-murray-street-brunswick-west-vic-3055-16063624,-37.7596015,144.9417186
410,4,2,1,https://www.domain.com.au/11-elmville-place-craigieburn-vic-3064-16070767,-37.5748697,144.9276766
450,3,2,2,https://www.domain.com.au/4-6-lorikeet-court-leopold-vic-3224-16083112,-38.184494,144.478108
420,4,2,2,https://www.domain.com.au/14-zuccotti-crescent-point-cook-vic-3030-13686918,-37.89209510000001,144.7105168
400,4,2,2,https://www.domain.com.au/39-hindmarsh-drive-manor-lakes-vic-3024-16056271,-37.8808353,144.6135438
585,4,3,1,https://www.domain.com.au/24-lansell-road-mooroolbark-vic-3138-16058059,-37.7761353,145.3249121
580,2,1,1,https://www.domain.com.au/6-33-35-mitchell-street-brunswick-vic-3056-16052594,-37.7585776,144.9670748
535,4,2,2,https://www.domain.com.au/12-hackberry-close-lara-vic-3212-16046150,-38.0229574,144.3965247
400,3,1,2,https://www.domain.com.au/10-christopher-crescent-tullamarine-vic-3043-15268525,-37.6996389,144.8776131
1800,4,3,2,https://www.domain.com.au/24-dreadnought-street-sandringham-vic-3191-16037409,-37.9527473,145.0172376
500,3,1,2,https://www.domain.com.au/14-carrol-grove-mount-waverley-vic-3149-16040385,-37.8920746,145.1088979
390,2,1,1,https://www.domain.com.au/2-38-lower-plenty-road-rosanna-vic-3084-16039073,-37.7452255,145.0610305
440,4,2,2,https://www.domain.com.au/8-saxbee-way-leopold-vic-3224-16079106,-38.1822683,144.4583207
1000,4,3,2,https://www.domain.com.au/36a-thomasina-street-bentleigh-east-vic-3165-16031852,-37.9123487,145.0594803
450,3,2,2,https://www.domain.com.au/27-ayrvale-avenue-lake-gardens-vic-3355-15694452,-37.5455982,143.8159128
520,4,2,2,https://www.domain.com.au/2-62-scoresby-road-bayswater-vic-3153-16075654,-37.8486774,145.2690225
400,2,1,1,https://www.domain.com.au/12-32-grosvenor-street-south-yarra-vic-3141-16058625,-37.8444721,144.9926381
380,2,1,1,https://www.domain.com.au/54-13-15-hewish-road-croydon-vic-3136-15209545,-37.7960689,145.2830007
330,2,1,1,https://www.domain.com.au/2-18-glen-street-werribee-vic-3030-16001149,-37.896958,144.66229
400,4,2,2,https://www.domain.com.au/66-powlett-street-werribee-vic-3030-16061400,-37.9212961,144.6451241
295,1,1,1,https://www.domain.com.au/8-25-elliott-avenue-carnegie-vic-3163-16050997,-37.8902175,145.0597333
380,4,2,2,https://www.domain.com.au/70-mercantour-boulevard-tarneit-vic-3029-14559229,-37.8403069,144.6656985
440,2,1,1,https://www.domain.com.au/302-53-gaffney-street-coburg-vic-3058-16035732,-37.7338265,144.961787
400,3,2,2,https://www.domain.com.au/26-clarendon-street-cranbourne-vic-3977-15988754,-38.1048906,145.275413
995,4,3,3,https://www.domain.com.au/107a-atkinson-street-templestowe-vic-3106-16058466,-37.7547403,145.1316547
340,2,1,1,https://www.domain.com.au/3-53-isabella-street-geelong-west-vic-3218-16057661,-38.133214,144.3453741
380,2,1,2,https://www.domain.com.au/10-armadale-drive-narre-warren-vic-3805-14582265,-38.0365469,145.3088412
580,4,3,2,https://www.domain.com.au/4-51-van-ness-avenue-mornington-vic-3931-16042811,-38.2378065,145.042318
290,1,1,1,https://www.domain.com.au/3-1-tulloch-street-deer-park-vic-3023-16069563,-37.7731617,144.773584
825,3,2,3,https://www.domain.com.au/1-22-jackson-street-st-kilda-vic-3182-16048000,-37.8617319,144.9756185
500,3,1,2,https://www.domain.com.au/10-friar-street-blairgowrie-vic-3942-16050737,-38.3771915,144.7842301
800,3,2,2,https://www.domain.com.au/117-39-dorcas-st-south-melbourne-vic-3205-15262716,-37.83087750000001,144.9686406
350,1,1,1,https://www.domain.com.au/1-26-shepparson-avenue-carnegie-vic-3163-16059137,-37.8902207,145.0582376
450,3,1,1,https://www.domain.com.au/13-kneale-drive-box-hill-north-vic-3129-16009402,-37.8059128,145.1300608
470,3,0,1,https://www.domain.com.au/35-dight-street-collingwood-vic-3066-16002981,-37.8027282,144.9882807
325,2,1,1,https://www.domain.com.au/5-2-kipling-street-st-kilda-vic-3182-16082197,-37.8639769,144.9904173
500,3,2,4,https://www.domain.com.au/78-hailes-street-greensborough-vic-3088-16072820,-37.6994648,145.0986414
160,7,3,2,https://www.domain.com.au/2-37-stockdale-avenue-clayton-vic-3168-14725614,-37.91007390000001,145.1254236
550,2,1,1,https://www.domain.com.au/1108-68-la-trobe-street-melbourne-vic-3000-16052919,-37.8083648,144.9667899
610,2,1,1,https://www.domain.com.au/568-nicholson-street-fitzroy-north-vic-3068-16013155,-37.786312,144.977253
725,2,2,2,https://www.domain.com.au/g03-1457-high-street-glen-iris-vic-3146-16074275,-37.8590072,145.0501558
470,3,1,2,https://www.domain.com.au/17-duirs-street-warrnambool-vic-3280-16081789,-38.3828587,142.4639543
500,3,1,1,https://www.domain.com.au/23-crofton-st-geelong-west-vic-3218-16078418,-38.1433384,144.3399474
425,2,1,2,https://www.domain.com.au/50-bloomfield-avenue-maribyrnong-vic-3032-16060896,-37.769586,144.8878856
450,2,2,1,https://www.domain.com.au/204-190-reynolds-road-doncaster-east-vic-3109-16021613,-37.7638529,145.1682453
440,4,2,2,https://www.domain.com.au/92-balmain-road-mickleham-vic-3064-16049824,-37.5331767,144.9073981
400,2,1,1,https://www.domain.com.au/4-36-aberdeen-road-prahran-vic-3181-16042420,-37.8527931,145.004259
560,3,2,2,https://www.domain.com.au/2-19-eastgate-street-pascoe-vale-vic-3044-15542047,-37.7368221,144.9423379
2400,3,2,2,https://www.domain.com.au/241-299-queen-street-melbourne-vic-3000-15998618,-37.8114751,144.9586205
650,3,2,3,https://www.domain.com.au/10-cineria-avenue-ferntree-gully-vic-3156-16075894,-37.8773008,145.2631506
510,2,1,2,https://www.domain.com.au/14a-sheffield-street-brunswick-vic-3056-11627134,-37.7602229,144.9496761
2,4,2,2,https://www.domain.com.au/thornhill-park-vic-3335-15185910,-37.7460478,144.6176783
360,2,1,1,https://www.domain.com.au/2-11-firth-street-doncaster-vic-3108-16078256,-37.7861196,145.1223665
580,3,2,2,https://www.domain.com.au/9-7-coate-avenue-alphington-vic-3078-16007954,-37.7850554,145.0242036
